Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,145,6,Some Random Commen with Id 0
1,0,8,39,9,Some Random Commen with Id 1
2,0,8,108,4,Some Random Commen with Id 2
3,0,8,72,9,Some Random Commen with Id 3
4,0,8,0,4,Some Random Commen with Id 4
5,1,6,136,2,Some Random Commen with Id 5
6,1,6,71,2,Some Random Commen with Id 6
7,1,6,69,5,Some Random Commen with Id 7
8,1,6,145,7,Some Random Commen with Id 8
9,1,6,101,4,Some Random Commen with Id 9
10,1,6,97,2,Some Random Commen with Id 10
11,1,6,98,4,Some Random Commen with Id 11
12,2,0,30,8,Some Random Commen with Id 12
13,2,0,192,9,Some Random Commen with Id 13
14,2,0,82,8,Some Random Commen with Id 14
15,3,4,46,2,Some Random Commen with Id 15
16,3,4,37,8,Some Random Commen with Id 16
17,3,4,195,2,Some Random Commen with Id 17
18,3,4,20,1,Some Random Commen with Id 18
19,3,4,116,6,Some Random Commen with Id 19
20,3,4,101,7,Some Random Commen with Id 20
21,5,9,174,0,Some Random Commen with Id 21
22,5,9,111,7,Some Random Commen with Id 22
23,5,9,34,1,Some Random Commen with Id 23
24,5,9,0,8,Some Random Commen with Id 24
25,5,9,57,4,Some Random Commen with Id 25
26,5,9,124,2,Some Random Commen with Id 26
27,5,9,109,0,Some Random Commen with Id 27
28,5,9,124,7,Some Random Commen with Id 28
29,6,9,197,9,Some Random Commen with Id 29
30,6,9,48,2,Some Random Commen with Id 30
31,6,9,51,9,Some Random Commen with Id 31
32,6,9,46,2,Some Random Commen with Id 32
33,7,6,147,0,Some Random Commen with Id 33
34,7,6,58,9,Some Random Commen with Id 34
35,7,6,168,0,Some Random Commen with Id 35
36,7,6,139,0,Some Random Commen with Id 36
37,7,6,30,9,Some Random Commen with Id 37
38,7,6,178,7,Some Random Commen with Id 38
39,7,6,21,3,Some Random Commen with Id 39
40,8,5,197,1,Some Random Commen with Id 40
41,8,5,131,4,Some Random Commen with Id 41
42,8,5,42,9,Some Random Commen with Id 42
43,8,5,117,4,Some Random Commen with Id 43
44,8,5,133,4,Some Random Commen with Id 44
45,8,5,161,9,Some Random Commen with Id 45
46,8,5,12,7,Some Random Commen with Id 46
47,8,5,124,2,Some Random Commen with Id 47
48,8,5,100,5,Some Random Commen with Id 48
49,9,9,77,3,Some Random Commen with Id 49
50,9,9,144,9,Some Random Commen with Id 50
51,9,9,188,6,Some Random Commen with Id 51
52,9,9,134,6,Some Random Commen with Id 52
53,9,9,150,4,Some Random Commen with Id 53
54,9,9,100,7,Some Random Commen with Id 54
55,9,9,39,7,Some Random Commen with Id 55
56,9,9,45,5,Some Random Commen with Id 56
57,9,9,35,7,Some Random Commen with Id 57
58,10,9,100,5,Some Random Commen with Id 58
59,11,2,58,9,Some Random Commen with Id 59
60,11,2,164,3,Some Random Commen with Id 60
61,11,2,40,6,Some Random Commen with Id 61
62,11,2,40,9,Some Random Commen with Id 62
63,11,2,43,5,Some Random Commen with Id 63
64,11,2,147,2,Some Random Commen with Id 64
65,12,0,64,5,Some Random Commen with Id 65
66,12,0,184,4,Some Random Commen with Id 66
67,12,0,48,6,Some Random Commen with Id 67
68,12,0,15,4,Some Random Commen with Id 68
69,14,0,12,1,Some Random Commen with Id 69
70,14,0,26,2,Some Random Commen with Id 70
71,14,0,79,7,Some Random Commen with Id 71
72,14,0,58,5,Some Random Commen with Id 72
73,14,0,60,0,Some Random Commen with Id 73
74,14,0,173,0,Some Random Commen with Id 74
75,14,0,54,4,Some Random Commen with Id 75
76,14,0,197,2,Some Random Commen with Id 76
77,15,0,113,7,Some Random Commen with Id 77
78,15,0,148,9,Some Random Commen with Id 78
79,15,0,80,3,Some Random Commen with Id 79
80,15,0,94,5,Some Random Commen with Id 80
81,15,0,9,2,Some Random Commen with Id 81
82,15,0,139,0,Some Random Commen with Id 82
83,15,0,176,9,Some Random Commen with Id 83
84,15,0,147,6,Some Random Commen with Id 84
85,16,7,93,5,Some Random Commen with Id 85
86,16,7,178,8,Some Random Commen with Id 86
87,16,7,18,0,Some Random Commen with Id 87
88,16,7,93,3,Some Random Commen with Id 88
89,16,7,153,5,Some Random Commen with Id 89
90,17,5,122,5,Some Random Commen with Id 90
91,17,5,136,6,Some Random Commen with Id 91
92,17,5,118,0,Some Random Commen with Id 92
93,18,5,27,0,Some Random Commen with Id 93
94,18,5,32,3,Some Random Commen with Id 94
95,18,5,78,3,Some Random Commen with Id 95
96,18,5,148,5,Some Random Commen with Id 96
97,18,5,41,2,Some Random Commen with Id 97
98,18,5,178,6,Some Random Commen with Id 98
99,19,2,197,4,Some Random Commen with Id 99
100,19,2,143,4,Some Random Commen with Id 100
101,19,2,109,2,Some Random Commen with Id 101
102,19,2,78,1,Some Random Commen with Id 102
103,19,2,110,0,Some Random Commen with Id 103
104,20,1,1,3,Some Random Commen with Id 104
105,20,1,50,3,Some Random Commen with Id 105
106,20,1,127,0,Some Random Commen with Id 106
107,20,1,3,9,Some Random Commen with Id 107
108,20,1,138,6,Some Random Commen with Id 108
109,22,8,147,1,Some Random Commen with Id 109
110,23,6,159,6,Some Random Commen with Id 110
111,23,6,144,0,Some Random Commen with Id 111
112,23,6,114,3,Some Random Commen with Id 112
113,24,0,167,7,Some Random Commen with Id 113
114,24,0,173,1,Some Random Commen with Id 114
115,24,0,94,2,Some Random Commen with Id 115
116,24,0,166,4,Some Random Commen with Id 116
117,24,0,173,9,Some Random Commen with Id 117
118,24,0,119,5,Some Random Commen with Id 118
119,24,0,65,3,Some Random Commen with Id 119
120,24,0,81,0,Some Random Commen with Id 120
121,25,8,43,8,Some Random Commen with Id 121
122,25,8,196,5,Some Random Commen with Id 122
123,25,8,14,8,Some Random Commen with Id 123
124,25,8,41,2,Some Random Commen with Id 124
125,26,0,180,5,Some Random Commen with Id 125
126,27,8,73,3,Some Random Commen with Id 126
127,27,8,144,8,Some Random Commen with Id 127
128,27,8,193,8,Some Random Commen with Id 128
129,27,8,148,4,Some Random Commen with Id 129
130,28,1,36,2,Some Random Commen with Id 130
131,28,1,153,0,Some Random Commen with Id 131
132,28,1,153,1,Some Random Commen with Id 132
133,29,6,181,0,Some Random Commen with Id 133
134,29,6,17,6,Some Random Commen with Id 134
135,29,6,169,8,Some Random Commen with Id 135
136,29,6,144,8,Some Random Commen with Id 136
137,30,9,44,3,Some Random Commen with Id 137
138,30,9,43,0,Some Random Commen with Id 138
139,30,9,105,4,Some Random Commen with Id 139
140,30,9,91,5,Some Random Commen with Id 140
141,31,1,175,1,Some Random Commen with Id 141
142,31,1,115,4,Some Random Commen with Id 142
143,31,1,106,2,Some Random Commen with Id 143
144,31,1,152,7,Some Random Commen with Id 144
145,31,1,88,1,Some Random Commen with Id 145
146,31,1,129,0,Some Random Commen with Id 146
147,31,1,106,7,Some Random Commen with Id 147
