Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,124,4,Some Random Commen with Id 0
1,0,6,14,7,Some Random Commen with Id 1
2,0,6,126,6,Some Random Commen with Id 2
3,0,6,84,3,Some Random Commen with Id 3
4,1,8,116,0,Some Random Commen with Id 4
5,1,8,62,6,Some Random Commen with Id 5
6,1,8,151,2,Some Random Commen with Id 6
7,1,8,66,8,Some Random Commen with Id 7
8,2,1,84,2,Some Random Commen with Id 8
9,2,1,139,8,Some Random Commen with Id 9
10,2,1,55,0,Some Random Commen with Id 10
11,2,1,89,5,Some Random Commen with Id 11
12,2,1,60,1,Some Random Commen with Id 12
13,2,1,30,6,Some Random Commen with Id 13
14,3,8,145,4,Some Random Commen with Id 14
15,4,1,187,5,Some Random Commen with Id 15
16,5,1,4,4,Some Random Commen with Id 16
17,5,1,42,2,Some Random Commen with Id 17
18,5,1,62,8,Some Random Commen with Id 18
19,5,1,112,7,Some Random Commen with Id 19
20,5,1,46,3,Some Random Commen with Id 20
21,6,7,11,8,Some Random Commen with Id 21
22,7,2,95,4,Some Random Commen with Id 22
23,7,2,81,6,Some Random Commen with Id 23
24,7,2,170,1,Some Random Commen with Id 24
25,7,2,185,8,Some Random Commen with Id 25
26,7,2,94,9,Some Random Commen with Id 26
27,7,2,113,3,Some Random Commen with Id 27
28,7,2,134,4,Some Random Commen with Id 28
29,8,0,47,6,Some Random Commen with Id 29
30,8,0,25,1,Some Random Commen with Id 30
31,8,0,152,9,Some Random Commen with Id 31
32,8,0,53,0,Some Random Commen with Id 32
33,8,0,94,0,Some Random Commen with Id 33
34,8,0,90,2,Some Random Commen with Id 34
35,8,0,56,0,Some Random Commen with Id 35
36,9,0,18,5,Some Random Commen with Id 36
37,9,0,75,4,Some Random Commen with Id 37
38,9,0,108,4,Some Random Commen with Id 38
39,9,0,172,4,Some Random Commen with Id 39
40,9,0,66,3,Some Random Commen with Id 40
41,9,0,41,4,Some Random Commen with Id 41
42,9,0,167,0,Some Random Commen with Id 42
43,9,0,53,8,Some Random Commen with Id 43
44,9,0,18,4,Some Random Commen with Id 44
45,10,3,67,8,Some Random Commen with Id 45
46,10,3,118,3,Some Random Commen with Id 46
47,10,3,183,8,Some Random Commen with Id 47
48,10,3,102,1,Some Random Commen with Id 48
49,11,0,76,9,Some Random Commen with Id 49
50,11,0,142,1,Some Random Commen with Id 50
51,11,0,70,1,Some Random Commen with Id 51
52,12,5,99,5,Some Random Commen with Id 52
53,12,5,169,8,Some Random Commen with Id 53
54,14,7,183,9,Some Random Commen with Id 54
55,14,7,97,5,Some Random Commen with Id 55
56,14,7,40,1,Some Random Commen with Id 56
57,15,2,110,8,Some Random Commen with Id 57
58,15,2,164,5,Some Random Commen with Id 58
59,15,2,78,9,Some Random Commen with Id 59
60,15,2,178,6,Some Random Commen with Id 60
61,15,2,63,8,Some Random Commen with Id 61
62,15,2,24,0,Some Random Commen with Id 62
63,15,2,22,8,Some Random Commen with Id 63
64,15,2,91,3,Some Random Commen with Id 64
65,16,6,86,7,Some Random Commen with Id 65
66,16,6,106,9,Some Random Commen with Id 66
67,16,6,86,4,Some Random Commen with Id 67
68,16,6,59,5,Some Random Commen with Id 68
69,16,6,63,5,Some Random Commen with Id 69
70,16,6,87,4,Some Random Commen with Id 70
71,16,6,128,6,Some Random Commen with Id 71
72,16,6,97,8,Some Random Commen with Id 72
73,17,0,78,0,Some Random Commen with Id 73
74,17,0,70,8,Some Random Commen with Id 74
75,17,0,149,2,Some Random Commen with Id 75
76,17,0,107,6,Some Random Commen with Id 76
77,17,0,198,7,Some Random Commen with Id 77
78,17,0,79,4,Some Random Commen with Id 78
79,17,0,131,4,Some Random Commen with Id 79
80,18,5,131,2,Some Random Commen with Id 80
81,18,5,141,7,Some Random Commen with Id 81
82,18,5,53,1,Some Random Commen with Id 82
83,18,5,137,0,Some Random Commen with Id 83
84,18,5,106,3,Some Random Commen with Id 84
85,19,3,123,4,Some Random Commen with Id 85
86,19,3,68,0,Some Random Commen with Id 86
87,19,3,138,0,Some Random Commen with Id 87
88,19,3,143,8,Some Random Commen with Id 88
89,19,3,132,4,Some Random Commen with Id 89
90,19,3,108,9,Some Random Commen with Id 90
91,19,3,59,8,Some Random Commen with Id 91
92,20,9,194,4,Some Random Commen with Id 92
93,20,9,19,8,Some Random Commen with Id 93
94,21,6,2,3,Some Random Commen with Id 94
95,21,6,90,8,Some Random Commen with Id 95
96,22,2,83,4,Some Random Commen with Id 96
97,22,2,30,1,Some Random Commen with Id 97
98,23,7,183,8,Some Random Commen with Id 98
99,23,7,13,4,Some Random Commen with Id 99
100,23,7,154,2,Some Random Commen with Id 100
101,23,7,39,5,Some Random Commen with Id 101
102,23,7,55,7,Some Random Commen with Id 102
103,23,7,65,8,Some Random Commen with Id 103
104,23,7,93,0,Some Random Commen with Id 104
105,24,7,92,5,Some Random Commen with Id 105
106,24,7,187,7,Some Random Commen with Id 106
107,25,0,125,2,Some Random Commen with Id 107
108,25,0,87,1,Some Random Commen with Id 108
109,25,0,31,6,Some Random Commen with Id 109
110,25,0,108,9,Some Random Commen with Id 110
111,25,0,70,6,Some Random Commen with Id 111
112,25,0,6,6,Some Random Commen with Id 112
113,25,0,44,8,Some Random Commen with Id 113
114,25,0,89,3,Some Random Commen with Id 114
115,25,0,195,9,Some Random Commen with Id 115
116,26,3,196,7,Some Random Commen with Id 116
